<html xmlns="http://www.w3.org/1999/xhtml"><head><link title="Wrap Long Lines" href="resource://gre-resources/plaintext.css" type="text/css" rel="alternate stylesheet" /></head><body><pre># Assembly Name:  GRCh37.p12
# Description:    Genome Reference Consortium Human Build 37 patch release 12 (GRCh37.p12)
# Organism name:  Homo sapiens
# Taxid:          9606
# Submitter:      Genome Reference Consortium
# Date: 2013-3-26
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# GenBank Assembly ID: GCA_000001405.13 (replaced)
# RefSeq Assembly ID: GCF_000001405.24 (replaced)
# RefSeq Assembly and GenBank Assemblies Identical: yes
#
## Assembly-Units:
## GenBank Unit ID	RefSeq Unit ID	Assembly-Unit name
## 	GCF_000001305.13	Primary Assembly
## 	GCF_000001315.1	ALT_REF_LOCI_1
## 	GCF_000001325.2	ALT_REF_LOCI_2
## 	GCF_000001335.1	ALT_REF_LOCI_3
## 	GCF_000001345.1	ALT_REF_LOCI_4
## 	GCF_000001355.1	ALT_REF_LOCI_5
## 	GCF_000001365.2	ALT_REF_LOCI_6
## 	GCF_000001375.1	ALT_REF_LOCI_7
## 	GCF_000001385.1	ALT_REF_LOCI_8
## 	GCF_000001395.1	ALT_REF_LOCI_9
## 	GCF_000006015.1	non-nuclear
## 	GCF_000005045.11	PATCHES
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit
HSCHRUN_RANDOM_CTG28	unplaced-scaffold	na	na	GL000235.1	=	NT_167229.1	Primary Assembly
HSCHRUN_RANDOM_CTG29	unplaced-scaffold	na	na	GL000236.1	=	NT_167230.1	Primary Assembly
HSCHRUN_RANDOM_CTG30	unplaced-scaffold	na	na	GL000237.1	=	NT_167231.1	Primary Assembly
HSCHRUN_RANDOM_CTG31	unplaced-scaffold	na	na	GL000238.1	=	NT_167232.1	Primary Assembly
HSCHRUN_RANDOM_CTG32	unplaced-scaffold	na	na	GL000239.1	=	NT_167233.1	Primary Assembly
HSCHRUN_RANDOM_CTG33	unplaced-scaffold	na	na	GL000240.1	=	NT_167234.1	Primary Assembly
HSCHRUN_RANDOM_CTG34	unplaced-scaffold	na	na	GL000241.1	=	NT_167235.1	Primary Assembly
HSCHRUN_RANDOM_CTG35	unplaced-scaffold	na	na	GL000242.1	=	NT_167236.1	Primary Assembly
HSCHRUN_RANDOM_CTG36	unplaced-scaffold	na	na	GL000243.1	=	NT_167237.1	Primary Assembly
HSCHRUN_RANDOM_CTG37	unplaced-scaffold	na	na	GL000244.1	=	NT_167238.1	Primary Assembly
HSCHRUN_RANDOM_CTG38	unplaced-scaffold	na	na	GL000245.1	=	NT_167239.1	Primary Assembly
HSCHRUN_RANDOM_CTG39	unplaced-scaffold	na	na	GL000246.1	=	NT_167240.1	Primary Assembly
HSCHRUN_RANDOM_CTG40	unplaced-scaffold	na	na	GL000247.1	=	NT_167241.1	Primary Assembly
HSCHRUN_RANDOM_CTG41	unplaced-scaffold	na	na	GL000248.1	=	NT_167242.1	Primary Assembly
HSCHRUN_RANDOM_CTG42	unplaced-scaffold	na	na	GL000249.1	=	NT_167243.1	Primary Assembly
HSCHR6_MHC_APD_CTG1	alt-scaffold	6	Chromosome	GL000250.1	=	NT_167244.1	ALT_REF_LOCI_1
HSCHR6_MHC_COX_CTG1	alt-scaffold	6	Chromosome	GL000251.1	=	NT_113891.2	ALT_REF_LOCI_2
HSCHR6_MHC_DBB_CTG1	alt-scaffold	6	Chromosome	GL000252.1	=	NT_167245.1	ALT_REF_LOCI_3
HSCHR6_MHC_MANN_CTG1	alt-scaffold	6	Chromosome	GL000253.1	=	NT_167246.1	ALT_REF_LOCI_4
HSCHR6_MHC_MCF_CTG1	alt-scaffold	6	Chromosome	GL000254.1	=	NT_167247.1	ALT_REF_LOCI_5
HSCHR6_MHC_QBL_CTG1	alt-scaffold	6	Chromosome	GL000255.1	=	NT_167248.1	ALT_REF_LOCI_6
HSCHR6_MHC_SSTO_CTG1	alt-scaffold	6	Chromosome	GL000256.1	=	NT_167249.1	ALT_REF_LOCI_7
HSCHR4_1_CTG9	alt-scaffold	4	Chromosome	GL000257.1	=	NT_167250.1	ALT_REF_LOCI_8
HSCHR17_1_CTG5	alt-scaffold	17	Chromosome	GL000258.1	=	NT_167251.1	ALT_REF_LOCI_9
MT	assembled-molecule	MT	Mitochondrion	J01415.2	=	NC_012920.1	non-nuclear
HG989_PATCH	fix-patch	1	Chromosome	GL949741.1	=	NW_003571030.1	PATCHES
HG1287_PATCH	fix-patch	1	Chromosome	JH636052.4	=	NW_003871055.3	PATCHES
HG1292_PATCH	fix-patch	1	Chromosome	JH636053.2	=	NW_003871056.2	PATCHES
HG1472_PATCH	fix-patch	1	Chromosome	JH806574.1	=	NW_004070864.1	PATCHES
HSCHR1_1_CTG31	novel-patch	1	Chromosome	GL383518.1	=	NW_003315905.1	PATCHES
HSCHR1_2_CTG31	novel-patch	1	Chromosome	GL383519.1	=	NW_003315906.1	PATCHES
HSCHR1_3_CTG31	novel-patch	1	Chromosome	GL383520.1	=	NW_003315907.1	PATCHES
HG999_1_PATCH	fix-patch	1	Chromosome	GL383516.1	=	NW_003315903.1	PATCHES
HG999_2_PATCH	fix-patch	1	Chromosome	GL383517.1	=	NW_003315904.1	PATCHES
HG1293_PATCH	fix-patch	1	Chromosome	JH636054.1	=	NW_003871057.1	PATCHES
HG1471_PATCH	fix-patch	1	Chromosome	JH806573.1	=	NW_004070863.1	PATCHES
HG1473_PATCH	fix-patch	1	Chromosome	JH806575.1	=	NW_004070865.1	PATCHES
HSCHR2_1_CTG1	novel-patch	2	Chromosome	GL383521.1	=	NW_003315908.1	PATCHES
HG686_PATCH	fix-patch	2	Chromosome	GL877871.1	=	NW_003571032.1	PATCHES
HG953_PATCH	fix-patch	2	Chromosome	KB663603.1	=	NW_004504299.1	PATCHES
HSCHR2_1_CTG12	novel-patch	2	Chromosome	GL383522.1	=	NW_003315909.1	PATCHES
HSCHR2_2_CTG12	novel-patch	2	Chromosome	GL582966.2	=	NW_003571033.2	PATCHES
HG1007_PATCH	fix-patch	2	Chromosome	GL877870.2	=	NW_003571031.1	PATCHES
HSCHR3_1_CTG1	novel-patch	3	Chromosome	JH636055.1	=	NW_003871060.1	PATCHES
HG186_PATCH	fix-patch	3	Chromosome	GL383523.1	=	NW_003315910.1	PATCHES
HG280_PATCH	fix-patch	3	Chromosome	GL383524.1	=	NW_003315911.1	PATCHES
HG991_PATCH	fix-patch	3	Chromosome	GL383525.1	=	NW_003315912.1	PATCHES
HG1091_PATCH	fix-patch	3	Chromosome	JH159131.1	=	NW_003871058.1	PATCHES
HG325_PATCH	fix-patch	3	Chromosome	JH159132.1	=	NW_003871059.1	PATCHES
HSCHR3_1_CTG2_1	novel-patch	3	Chromosome	GL383526.1	=	NW_003315913.1	PATCHES
HSCHR4_1_CTG6	novel-patch	4	Chromosome	GL383528.1	=	NW_003315915.1	PATCHES
HSCHR4_2_CTG9	novel-patch	4	Chromosome	GL383529.1	=	NW_003315916.1	PATCHES
HG706_PATCH	fix-patch	4	Chromosome	GL582967.1	=	NW_003571035.1	PATCHES
HSCHR4_1_CTG12	novel-patch	4	Chromosome	GL383527.1	=	NW_003315914.1	PATCHES
HG1032_PATCH	fix-patch	4	Chromosome	GL877872.1	=	NW_003571034.1	PATCHES
HSCHR5_1_CTG1	novel-patch	5	Chromosome	GL339449.2	=	NW_003315917.2	PATCHES
HSCHR5_1_CTG2	novel-patch	5	Chromosome	GL383530.1	=	NW_003315918.1	PATCHES
HSCHR5_2_CTG1	novel-patch	5	Chromosome	GL383532.1	=	NW_003315920.1	PATCHES
HSCHR5_3_CTG1	novel-patch	5	Chromosome	GL949742.1	=	NW_003571036.1	PATCHES
HG1063_PATCH	fix-patch	5	Chromosome	JH159133.1	=	NW_003871061.1	PATCHES
HSCHR5_1_CTG5	novel-patch	5	Chromosome	GL383531.1	=	NW_003315919.1	PATCHES
HG1322_PATCH	fix-patch	6	Chromosome	JH636057.1	=	NW_003871063.1	PATCHES
HG27_PATCH	fix-patch	6	Chromosome	JH806576.1	=	NW_004070866.1	PATCHES
HSCHR6_1_CTG5	novel-patch	6	Chromosome	GL383533.1	=	NW_003315921.1	PATCHES
HG1304_PATCH	fix-patch	6	Chromosome	JH636056.1	=	NW_003871062.1	PATCHES
HG357_PATCH	fix-patch	6	Chromosome	KB663604.1	=	NW_004504300.1	PATCHES
HSCHR6_2_CTG5	novel-patch	6	Chromosome	KB021644.1	=	NW_004166862.1	PATCHES
HG115_PATCH	fix-patch	7	Chromosome	GL582968.1	=	NW_003571037.1	PATCHES
HG14_PATCH	fix-patch	7	Chromosome	GL582969.1	=	NW_003571038.1	PATCHES
HG736_PATCH	fix-patch	7	Chromosome	GL582970.1	=	NW_003571039.1	PATCHES
HG946_PATCH	fix-patch	7	Chromosome	GL582972.1	=	NW_003571041.1	PATCHES
HG1257_PATCH	fix-patch	7	Chromosome	JH159134.2	=	NW_003871064.1	PATCHES
HG1308_PATCH	fix-patch	7	Chromosome	JH636058.1	=	NW_003871065.1	PATCHES
HSCHR7_1_CTG6	novel-patch	7	Chromosome	GL383534.2	=	NW_003315922.2	PATCHES
HG7_PATCH	fix-patch	7	Chromosome	GL582971.1	=	NW_003571040.1	PATCHES
HG104_HG975_PATCH	fix-patch	8	Chromosome	GL383535.1	=	NW_003315923.1	PATCHES
HG243_PATCH	fix-patch	8	Chromosome	GL383536.1	=	NW_003315924.1	PATCHES
HG19_PATCH	fix-patch	8	Chromosome	GL949743.1	=	NW_003571042.1	PATCHES
HG418_PATCH	fix-patch	8	Chromosome	JH159135.1	=	NW_003871066.1	PATCHES
HSCHR9_1_CTG1	novel-patch	9	Chromosome	GL383539.1	=	NW_003315928.1	PATCHES
HG962_PATCH	fix-patch	9	Chromosome	JH636059.1	=	NW_003871067.1	PATCHES
HSCHR9_1_CTG35	novel-patch	9	Chromosome	GL383540.1	=	NW_003315929.1	PATCHES
HSCHR9_2_CTG35	novel-patch	9	Chromosome	GL383541.1	=	NW_003315930.1	PATCHES
HSCHR9_3_CTG35	novel-patch	9	Chromosome	GL383542.1	=	NW_003315931.1	PATCHES
HG79_PATCH	fix-patch	9	Chromosome	GL339450.1	=	NW_003315925.1	PATCHES
HG998_1_PATCH	fix-patch	9	Chromosome	GL383537.1	=	NW_003315926.1	PATCHES
HG998_2_PATCH	fix-patch	9	Chromosome	GL383538.1	=	NW_003315927.1	PATCHES
HG1500_PATCH	fix-patch	9	Chromosome	JH806577.1	=	NW_004070867.1	PATCHES
HG1501_PATCH	fix-patch	9	Chromosome	JH806578.1	=	NW_004070868.1	PATCHES
HG1502_PATCH	fix-patch	9	Chromosome	JH806579.1	=	NW_004070869.1	PATCHES
HG50_PATCH	fix-patch	9	Chromosome	KB663605.1	=	NW_004504301.1	PATCHES
HG544_PATCH	fix-patch	10	Chromosome	GL383543.1	=	NW_003315932.1	PATCHES
HG905_PATCH	fix-patch	10	Chromosome	GL877873.1	=	NW_003571043.1	PATCHES
HG871_PATCH	fix-patch	10	Chromosome	JH636060.1	=	NW_003871071.1	PATCHES
HSCHR10_1_CTG2	novel-patch	10	Chromosome	GL383545.1	=	NW_003315934.1	PATCHES
HSCHR10_1_CTG5	novel-patch	10	Chromosome	GL383546.1	=	NW_003315935.1	PATCHES
HG995_PATCH	fix-patch	10	Chromosome	GL383544.1	=	NW_003315933.1	PATCHES
HG1211_PATCH	fix-patch	10	Chromosome	JH591181.2	=	NW_003871068.1	PATCHES
HG311_PATCH	fix-patch	10	Chromosome	JH591182.1	=	NW_003871069.1	PATCHES
HG339_PATCH	fix-patch	10	Chromosome	JH591183.1	=	NW_003871070.1	PATCHES
HG1479_PATCH	fix-patch	10	Chromosome	JH806580.1	=	NW_004070870.1	PATCHES
HG1074_PATCH	fix-patch	10	Chromosome	KB663606.1	=	NW_004504302.1	PATCHES
HG256_PATCH	fix-patch	11	Chromosome	JH591184.1	=	NW_003871075.1	PATCHES
HG873_PATCH	fix-patch	11	Chromosome	JH591185.1	=	NW_003871082.1	PATCHES
HSCHR11_1_CTG1_1	novel-patch	11	Chromosome	GL383547.1	=	NW_003315936.1	PATCHES
HG281_PATCH	fix-patch	11	Chromosome	GL582973.1	=	NW_003571045.1	PATCHES
HG142_HG150_NOVEL_TEST	novel-patch	11	Chromosome	JH159136.1	=	NW_003871073.1	PATCHES
HG151_NOVEL_TEST	novel-patch	11	Chromosome	JH159137.1	=	NW_003871074.1	PATCHES
HG536_PATCH	fix-patch	11	Chromosome	GL949744.1	=	NW_003571046.1	PATCHES
HG299_PATCH	fix-patch	11	Chromosome	JH159138.1	=	NW_003871076.1	PATCHES
HG305_PATCH	fix-patch	11	Chromosome	JH159139.1	=	NW_003871077.1	PATCHES
HG306_PATCH	fix-patch	11	Chromosome	JH159140.1	=	NW_003871078.1	PATCHES
HG348_PATCH	fix-patch	11	Chromosome	JH159141.2	=	NW_003871079.1	PATCHES
HG388_HG400_PATCH	fix-patch	11	Chromosome	JH159142.2	=	NW_003871080.1	PATCHES
HG414_PATCH	fix-patch	11	Chromosome	JH159143.1	=	NW_003871081.1	PATCHES
HG122_PATCH	fix-patch	11	Chromosome	JH720443.1	=	NW_003871072.1	PATCHES
HG865_PATCH	fix-patch	11	Chromosome	JH806581.1	=	NW_004070871.1	PATCHES
HG858_PATCH	fix-patch	12	Chromosome	GL582974.1	=	NW_003571048.1	PATCHES
HSCHR12_1_CTG1	novel-patch	12	Chromosome	GL877875.1	=	NW_003571049.1	PATCHES
HG344_PATCH	fix-patch	12	Chromosome	JH720444.1	=	NW_003871083.1	PATCHES
HSCHR12_1_CTG2	novel-patch	12	Chromosome	GL383549.1	=	NW_003315938.1	PATCHES
HSCHR12_1_CTG2_1	novel-patch	12	Chromosome	GL383550.1	=	NW_003315939.1	PATCHES
HSCHR12_2_CTG2_1	novel-patch	12	Chromosome	GL383552.1	=	NW_003315941.1	PATCHES
HSCHR12_3_CTG2_1	novel-patch	12	Chromosome	GL383553.2	=	NW_003315942.2	PATCHES
HSCHR12_2_CTG2	novel-patch	12	Chromosome	GL877876.1	=	NW_003571050.1	PATCHES
HG1133_PATCH	novel-patch	12	Chromosome	GL949745.1	=	NW_003571047.1	PATCHES
HG1595_PATCH	fix-patch	12	Chromosome	KB663607.1	=	NW_004504303.1	PATCHES
HSCHR12_1_CTG5	novel-patch	12	Chromosome	GL383551.1	=	NW_003315940.1	PATCHES
HG996_PATCH	fix-patch	12	Chromosome	GL383548.1	=	NW_003315937.1	PATCHES
HG531_PATCH	fix-patch	13	Chromosome	GL582975.1	=	NW_003571051.1	PATCHES
HG1592_PATCH	fix-patch	14	Chromosome	KB021645.1	=	NW_004166863.1	PATCHES
HSCHR15_1_CTG4	novel-patch	15	Chromosome	GL383554.1	=	NW_003315943.1	PATCHES
HSCHR15_1_CTG8	novel-patch	15	Chromosome	GL383555.1	=	NW_003315944.1	PATCHES
HG971_PATCH	fix-patch	15	Chromosome	JH720445.1	=	NW_003871084.1	PATCHES
HSCHR16_1_CTG3_1	novel-patch	16	Chromosome	GL383556.1	=	NW_003315945.1	PATCHES
HG1208_PATCH	fix-patch	16	Chromosome	JH720446.1	=	NW_003871085.1	PATCHES
HSCHR16_2_CTG3_1	novel-patch	16	Chromosome	GL383557.1	=	NW_003315946.1	PATCHES
HG417_PATCH	fix-patch	17	Chromosome	JH806582.1	=	NW_004070872.1	PATCHES
HSCHR17_1_CTG1	novel-patch	17	Chromosome	GL383563.1	=	NW_003315952.1	PATCHES
HG745_PATCH	fix-patch	17	Chromosome	GL383559.1	=	NW_003315948.1	PATCHES
HG75_PATCH	fix-patch	17	Chromosome	GL383560.1	=	NW_003315949.1	PATCHES
HG987_PATCH	fix-patch	17	Chromosome	GL383561.1	=	NW_003315950.1	PATCHES
HG990_PATCH	fix-patch	17	Chromosome	GL383562.1	=	NW_003315951.1	PATCHES
HG883_PATCH	fix-patch	17	Chromosome	JH159145.1	=	NW_003871090.1	PATCHES
HG385_PATCH	fix-patch	17	Chromosome	KB021646.1	=	NW_004166864.1	PATCHES
HSCHR17_1_CTG4	novel-patch	17	Chromosome	GL383564.1	=	NW_003315953.1	PATCHES
HSCHR17_4_CTG4	novel-patch	17	Chromosome	JH159146.1	=	NW_003871091.1	PATCHES
HSCHR17_5_CTG4	novel-patch	17	Chromosome	JH159147.1	=	NW_003871092.1	PATCHES
HSCHR17_6_CTG4	novel-patch	17	Chromosome	JH159148.1	=	NW_003871093.1	PATCHES
HG183_PATCH	fix-patch	17	Chromosome	GL383558.1	=	NW_003315947.1	PATCHES
HG185_PATCH	fix-patch	17	Chromosome	GL582976.1	=	NW_003571052.1	PATCHES
HG747_PATCH	fix-patch	17	Chromosome	JH159144.1	=	NW_003871088.1	PATCHES
HG1146_PATCH	fix-patch	17	Chromosome	JH720447.1	=	NW_003871086.1	PATCHES
HSCHR17_2_CTG4	novel-patch	17	Chromosome	GL383565.1	=	NW_003315954.1	PATCHES
HSCHR17_3_CTG4	novel-patch	17	Chromosome	GL383566.1	=	NW_003315955.1	PATCHES
HG748_PATCH	fix-patch	17	Chromosome	JH591186.1	=	NW_003871089.1	PATCHES
HG271_PATCH	fix-patch	17	Chromosome	JH636061.1	=	NW_003871087.1	PATCHES
HSCHR18_1_CTG1_1	novel-patch	18	Chromosome	GL383567.1	=	NW_003315956.1	PATCHES
HSCHR18_1_CTG2	novel-patch	18	Chromosome	GL383568.1	=	NW_003315957.1	PATCHES
HSCHR18_1_CTG2_1	novel-patch	18	Chromosome	GL383569.1	=	NW_003315958.1	PATCHES
HSCHR18_2_CTG1_1	novel-patch	18	Chromosome	GL383570.1	=	NW_003315959.1	PATCHES
HSCHR18_2_CTG2	novel-patch	18	Chromosome	GL383571.1	=	NW_003315960.1	PATCHES
HSCHR18_2_CTG2_1	novel-patch	18	Chromosome	GL383572.1	=	NW_003315961.1	PATCHES
HG730_PATCH	fix-patch	19	Chromosome	GL582977.1	=	NW_003571053.1	PATCHES
HG729_PATCH	fix-patch	19	Chromosome	JH159149.1	=	NW_003871094.1	PATCHES
HSCHR19_1_CTG3	novel-patch	19	Chromosome	GL383573.1	=	NW_003315962.1	PATCHES
HSCHR19_1_CTG3_1	novel-patch	19	Chromosome	GL383574.1	=	NW_003315963.1	PATCHES
HSCHR19_2_CTG3	novel-patch	19	Chromosome	GL383575.2	=	NW_003315964.2	PATCHES
HSCHR19_3_CTG3	novel-patch	19	Chromosome	GL383576.1	=	NW_003315965.1	PATCHES
